truck_id,unit_number,make,model_year,vin,acquisition_date,acquisition_mileage,fuel_type,tank_capacity_gallons,status,home_terminal
TRK00096,2337,Kenworth,2018,1VV745004113400907,26/01/2020,36485,Diesel,150,Active,Oklahoma City
TRK00097,7142,Peterbilt,2016,1FU504820655065872,25/07/2021,38775,Diesel,200,Active,Salt Lake City
TRK00098,4678,Peterbilt,2018,1NT233108199589879,24/03/2019,48182,Diesel,150,Active,Charlotte
TRK00099,1461,Freightliner,2015,1MU556456925295542,03/02/2017,11477,Diesel,200,Active,Kansas City
TRK00100,6221,Mack,2015,1VV819124058535238,28/01/2017,41025,Diesel,250,Inactive,Kansas City
TRK00101,2623,Peterbilt,2015,1VU348655476430824,16/02/2016,44482,Diesel,150,Active,Philadelphia
TRK00102,6493,Peterbilt,2015,1NT272470760513799,21/02/2016,27997,Diesel,200,Inactive,Minneapolis
TRK00103,3392,Freightliner,2015,1MV782002103958545,02/03/2015,36428,Diesel,250,Active,Los Angeles
TRK00104,3254,Peterbilt,2018,1VU718383816155959,22/03/2020,32481,Diesel,250,Maintenance,New York
TRK00105,1627,Volvo,2015,1MV847705711168299,03/12/2017,3072,Diesel,250,Active,Detroit
TRK00106,5700,Volvo,2017,1NT949762201559873,27/10/2017,22571,Diesel,200,Active,Atlanta
TRK00107,8740,Mack,2017,1FV694670205670221,31/10/2018,42160,Diesel,200,Active,Portland
TRK00108,3273,Volvo,2015,1VT735199537843337,29/08/2017,43997,Diesel,200,Active,Seattle
TRK00109,8685,Volvo,2015,1FT716597654505822,02/06/2017,24979,Diesel,250,Maintenance,Kansas City
TRK00110,8349,Peterbilt,2016,1NV268717210259310,18/03/2018,34371,Diesel,250,Active,Portland
TRK00111,1086,Kenworth,2015,1NU685854389033038,20/04/2015,20888,Diesel,250,Active,Seattle
TRK00112,2298,Volvo,2016,1MT331261140931634,01/06/2021,45633,Diesel,200,Active,Minneapolis
TRK00113,1311,Mack,2015,1MT674631830199518,02/04/2018,27284,Diesel,200,Active,Seattle
TRK00114,5193,Volvo,2016,1MT248556276310965,07/04/2021,26755,Diesel,150,Active,Las Vegas
TRK00115,4533,Peterbilt,2015,1MU165006752005085,22/04/2018,9779,Diesel,250,Active,Salt Lake City
TRK00116,3449,International,2019,1MV446968103715126,10/12/2020,19653,Diesel,200,Active,Kansas City
TRK00117,9991,Peterbilt,2015,1FU939700479057712,30/09/2015,24671,Diesel,150,Inactive,New York
TRK00118,9647,Freightliner,2015,1NV150990165397549,01/09/2017,12050,Diesel,150,Inactive,Detroit
TRK00119,7934,Mack,2015,1MU171789091515507,26/10/2018,49441,Diesel,250,Inactive,Seattle
TRK00120,2821,Volvo,2017,1FT135731860465802,06/03/2019,35253,Diesel,250,Active,Kansas City
